Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G4,1,[78.         33.         27.         45.         37.85078038],-31510.136483680522,0.0,[]
G4,2,[78.         35.09506738 27.         45.         37.85078045],-31510.13647936264,0.0,[]
G4,3,[78.         34.1306955  27.         45.         37.85078122],-31510.136428943344,0.0,[]
G4,4,[78.         34.2375617  27.         45.         37.85078039],-31510.136483110517,0.0,[]
G4,5,[78.         34.54156703 27.         45.         37.85078038],-31510.136483470145,0.0,[]
G4,6,[78.         33.830085   27.         45.         37.85078089],-31510.136450567494,0.0,[]
G4,7,[78.         37.08504127 27.         45.         37.85078174],-31510.136395127556,0.0,[]
G4,8,[78.         33.09380311 27.         45.         37.85078038],-31510.136483963797,0.0,[]
G4,9,[78.         34.38316422 27.         45.         37.85078055],-31510.136472593804,0.0,[]
G4,10,[78.         34.12070447 27.         45.         37.85078038],-31510.136483893446,0.0,[]
G4,11,[78.         35.69812519 27.         45.         37.85078038],-31510.136483635688,0.0,[]
G4,12,[78.         33.         27.         45.         37.85078126],-31510.136426182624,0.0,[]
G4,13,[78.         34.10083868 27.         45.         37.85078038],-31510.136483960654,0.0,[]
G4,14,[78.         33.         27.         45.         37.85078038],-31510.136483970284,0.0,[]
G4,15,[78.         33.58599677 27.         45.         37.85086062],-31510.13125356105,0.0,[]
G4,16,[78.         34.52022364 27.         45.         37.85078333],-31510.13629132927,0.0,[]
G4,17,[78.         34.42998249 27.         45.         37.85078059],-31510.136470228186,0.0,[]
G4,18,[78.         35.1170523  27.         45.         37.85078039],-31510.13648327913,0.0,[]
G4,19,[78.         34.8199194  27.         45.         37.85078038],-31510.13648393806,0.0,[]
G4,20,[78.         34.46938808 27.         45.         37.8507804 ],-31510.136482477894,0.0,[]
G4,21,[78.         34.01150517 27.         45.         37.85078065],-31510.136466012358,0.0,[]
G4,22,[78.         33.         27.         45.         37.85078038],-31510.136483935596,0.0,[]
G4,23,[78.         34.32765896 27.         45.         37.85078038],-31510.136483876675,0.0,[]
G4,24,[78.         33.64183503 27.         45.         37.85078753],-31510.136017458404,0.0,[]
G4,25,[78.         34.63153793 27.         45.         37.85078038],-31510.136483941053,0.0,[]
G4,26,[78.        33.        27.        45.        37.8507804],-31510.136482676535,0.0,[]
G4,27,[78.         35.48162365 27.         45.         37.85078109],-31510.13643731839,0.0,[]
G4,28,[78.         36.07904679 27.         45.         37.85078084],-31510.136453977633,0.0,[]
G4,29,[78.         34.04961229 27.         45.         37.8507823 ],-31510.136358454558,0.0,[]
G4,30,[78.         33.77660299 27.         45.         37.85078063],-31510.136467399327,0.0,[]
