Generation,Execution,Best Fitness
0,0,-7.98329027951137
1,0,-34.972830906681395
2,0,-34.972830906681395
3,0,-34.972830906681395
4,0,-34.972830906681395
5,0,-34.972830906681395
6,0,-34.972830906681395
7,0,-161.2026894381852
8,0,-161.2026894381852
9,0,-161.2026894381852
10,0,-161.2026894381852
11,0,-161.2026894381852
12,0,-266.46849146319613
13,0,-266.46849146319613
14,0,-266.46849146319613
15,0,-266.46849146319613
16,0,-266.46849146319613
17,0,-266.46849146319613
18,0,-266.46849146319613
19,0,-266.46849146319613
20,0,-266.46849146319613
21,0,-266.46849146319613
22,0,-266.46849146319613
23,0,-266.46849146319613
24,0,-266.46849146319613
25,0,-266.46849146319613
26,0,-266.46849146319613
27,0,-756.9256285513233
28,0,-756.9256285513233
29,0,-756.9256285513233
30,0,-756.9256285513233
31,0,-756.9256285513233
32,0,-756.9256285513233
33,0,-756.9256285513233
34,0,-756.9256285513233
35,0,-756.9256285513233
36,0,-756.9256285513233
37,0,-756.9256285513233
38,0,-756.9256285513233
39,0,-756.9256285513233
40,0,-756.9256285513233
41,0,-756.9256285513233
42,0,-756.9256285513233
43,0,-756.9256285513233
44,0,-756.9256285513233
45,0,-756.9256285513233
46,0,-756.9256285513233
47,0,-756.9256285513233
48,0,-756.9256285513233
49,0,-756.9256285513233
50,0,-756.9256285513233
51,0,-756.9256285513233
52,0,-756.9256285513233
53,0,-756.9256285513233
54,0,-756.9256285513233
55,0,-756.9256285513233
56,0,-756.9256285513233
57,0,-756.9256285513233
58,0,-756.9256285513233
59,0,-756.9256285513233
60,0,-756.9256285513233
61,0,-756.9256285513233
62,0,-756.9256285513233
63,0,-756.9256285513233
64,0,-1725.8619785086494
65,0,-1725.8619785086494
66,0,-1725.8619785086494
67,0,-1725.8619785086494
68,0,-1725.8619785086494
69,0,-1725.8619785086494
70,0,-1725.8619785086494
71,0,-1725.8619785086494
72,0,-1725.8619785086494
73,0,-1725.8619785086494
74,0,-1725.8619785086494
75,0,-1725.8619785086494
76,0,-1725.8619785086494
77,0,-1725.8619785086494
78,0,-4379.684053570762
79,0,-4379.684053570762
80,0,-4379.684053570762
81,0,-4379.684053570762
82,0,-4379.684053570762
83,0,-4379.684053570762
84,0,-4379.684053570762
85,0,-4379.684053570762
86,0,-4379.684053570762
87,0,-4379.684053570762
88,0,-4379.684053570762
89,0,-4379.684053570762
90,0,-4379.684053570762
91,0,-4379.684053570762
92,0,-4379.684053570762
93,0,-4379.684053570762
94,0,-4379.684053570762
95,0,-4379.684053570762
96,0,-4379.684053570762
97,0,-4379.684053570762
98,0,-4379.684053570762
99,0,-4379.684053570762
0,1,-90.31439018992054
1,1,-90.31439018992054
2,1,-90.31439018992054
3,1,-90.31439018992054
4,1,-90.31439018992054
5,1,-90.31439018992054
6,1,-90.31439018992054
7,1,-90.31439018992054
8,1,-90.31439018992054
9,1,-90.31439018992054
10,1,-90.31439018992054
11,1,-90.31439018992054
12,1,-90.31439018992054
13,1,-90.31439018992054
14,1,-271.9841335632179
15,1,-271.9841335632179
16,1,-271.9841335632179
17,1,-271.9841335632179
18,1,-271.9841335632179
19,1,-271.9841335632179
20,1,-271.9841335632179
21,1,-271.9841335632179
22,1,-271.9841335632179
23,1,-271.9841335632179
24,1,-271.9841335632179
25,1,-271.9841335632179
26,1,-409.93432920700417
27,1,-409.93432920700417
28,1,-409.93432920700417
29,1,-409.93432920700417
30,1,-409.93432920700417
31,1,-409.93432920700417
32,1,-409.93432920700417
33,1,-409.93432920700417
34,1,-409.93432920700417
35,1,-409.93432920700417
36,1,-409.93432920700417
37,1,-409.93432920700417
38,1,-510.6886833757493
39,1,-510.6886833757493
40,1,-510.6886833757493
41,1,-743.7718701420832
42,1,-743.7718701420832
43,1,-743.7718701420832
44,1,-743.7718701420832
45,1,-743.7718701420832
46,1,-743.7718701420832
47,1,-743.7718701420832
48,1,-743.7718701420832
49,1,-2196.934282680985
50,1,-2196.934282680985
51,1,-2400.2301257988524
52,1,-2400.2301257988524
53,1,-2400.2301257988524
54,1,-2400.2301257988524
55,1,-2400.2301257988524
56,1,-2400.2301257988524
57,1,-2400.2301257988524
58,1,-2400.2301257988524
59,1,-2400.2301257988524
60,1,-2400.2301257988524
61,1,-2400.2301257988524
62,1,-2400.2301257988524
63,1,-2400.2301257988524
64,1,-2400.2301257988524
65,1,-2400.2301257988524
66,1,-2400.2301257988524
67,1,-2400.2301257988524
68,1,-2400.2301257988524
69,1,-3340.5195608889667
70,1,-3340.5195608889667
71,1,-3340.5195608889667
72,1,-3340.5195608889667
73,1,-3340.5195608889667
74,1,-3340.5195608889667
75,1,-3340.5195608889667
76,1,-3340.5195608889667
77,1,-3340.5195608889667
78,1,-3340.5195608889667
79,1,-3340.5195608889667
80,1,-3340.5195608889667
81,1,-3340.5195608889667
82,1,-3340.5195608889667
83,1,-3340.5195608889667
84,1,-3340.5195608889667
85,1,-3340.5195608889667
86,1,-3340.5195608889667
87,1,-3340.5195608889667
88,1,-3340.5195608889667
89,1,-3340.5195608889667
90,1,-5350.9264143106375
91,1,-8709.002405327155
92,1,-8709.002405327155
93,1,-8709.002405327155
94,1,-8709.002405327155
95,1,-8709.002405327155
96,1,-8709.002405327155
97,1,-8709.002405327155
98,1,-11424.14559015705
99,1,-12815.726403705687
0,2,-45.5962806009481
1,2,-45.5962806009481
2,2,-296.61246998823424
3,2,-296.61246998823424
4,2,-296.61246998823424
5,2,-296.61246998823424
6,2,-296.61246998823424
7,2,-296.61246998823424
8,2,-296.61246998823424
9,2,-296.61246998823424
10,2,-296.61246998823424
11,2,-305.33563988240564
12,2,-305.33563988240564
13,2,-305.33563988240564
14,2,-305.33563988240564
15,2,-305.33563988240564
16,2,-305.33563988240564
17,2,-305.33563988240564
18,2,-305.33563988240564
19,2,-305.33563988240564
20,2,-305.33563988240564
21,2,-305.33563988240564
22,2,-305.33563988240564
23,2,-914.1371662597644
24,2,-1137.39092822867
25,2,-1137.39092822867
26,2,-1137.39092822867
27,2,-1137.39092822867
28,2,-1137.39092822867
29,2,-1137.39092822867
30,2,-1137.39092822867
31,2,-1137.39092822867
32,2,-1137.39092822867
33,2,-1137.39092822867
34,2,-1137.39092822867
35,2,-1137.39092822867
36,2,-1137.39092822867
37,2,-1137.39092822867
38,2,-1137.39092822867
39,2,-1137.39092822867
40,2,-1137.39092822867
41,2,-1137.39092822867
42,2,-1137.39092822867
43,2,-1137.39092822867
44,2,-1137.39092822867
45,2,-1137.39092822867
46,2,-1137.39092822867
47,2,-1137.39092822867
48,2,-1137.39092822867
49,2,-1137.39092822867
50,2,-1137.39092822867
51,2,-1137.39092822867
52,2,-1137.39092822867
53,2,-1137.39092822867
54,2,-1137.39092822867
55,2,-1137.39092822867
56,2,-1137.39092822867
57,2,-1137.39092822867
58,2,-1137.39092822867
59,2,-1137.39092822867
60,2,-1137.39092822867
61,2,-1137.39092822867
62,2,-1137.39092822867
63,2,-1137.39092822867
64,2,-1137.39092822867
65,2,-1137.39092822867
66,2,-1137.39092822867
67,2,-1137.39092822867
68,2,-1137.39092822867
69,2,-1137.39092822867
70,2,-1137.39092822867
71,2,-1137.39092822867
72,2,-1137.39092822867
73,2,-1137.39092822867
74,2,-1137.39092822867
75,2,-1137.39092822867
76,2,-1137.39092822867
77,2,-1137.39092822867
78,2,-3358.456185142574
79,2,-3358.456185142574
80,2,-3358.456185142574
81,2,-3358.456185142574
82,2,-3358.456185142574
83,2,-3358.456185142574
84,2,-21502.101282252497
85,2,-21502.101282252497
86,2,-21502.101282252497
87,2,-21502.101282252497
88,2,-21502.101282252497
89,2,-21502.101282252497
90,2,-21502.101282252497
91,2,-21502.101282252497
92,2,-21502.101282252497
93,2,-21502.101282252497
94,2,-21502.101282252497
95,2,-21502.101282252497
96,2,-21502.101282252497
97,2,-21502.101282252497
98,2,-21502.101282252497
99,2,-21502.101282252497
0,3,-19.518845701108066
1,3,-67.96006732203413
2,3,-75.94668491391334
3,3,-75.94668491391334
4,3,-75.94668491391334
5,3,-82.2500215494967
6,3,-82.2500215494967
7,3,-82.2500215494967
8,3,-82.2500215494967
9,3,-82.2500215494967
10,3,-82.2500215494967
11,3,-82.2500215494967
12,3,-127.67856368134989
13,3,-127.67856368134989
14,3,-127.67856368134989
15,3,-127.67856368134989
16,3,-127.67856368134989
17,3,-551.4485830079498
18,3,-551.4485830079498
19,3,-551.4485830079498
20,3,-551.4485830079498
21,3,-551.4485830079498
22,3,-551.4485830079498
23,3,-551.4485830079498
24,3,-551.4485830079498
25,3,-551.4485830079498
26,3,-551.4485830079498
27,3,-1973.5453646437352
28,3,-1973.5453646437352
29,3,-1973.5453646437352
30,3,-1973.5453646437352
31,3,-1973.5453646437352
32,3,-1973.5453646437352
33,3,-1973.5453646437352
34,3,-3368.275488797358
35,3,-3368.275488797358
36,3,-3368.275488797358
37,3,-3368.275488797358
38,3,-3368.275488797358
39,3,-3368.275488797358
40,3,-3368.275488797358
41,3,-3368.275488797358
42,3,-3368.275488797358
43,3,-3368.275488797358
44,3,-3368.275488797358
45,3,-3368.275488797358
46,3,-3368.275488797358
47,3,-3368.275488797358
48,3,-3368.275488797358
49,3,-3368.275488797358
50,3,-3368.275488797358
51,3,-3368.275488797358
52,3,-3368.275488797358
53,3,-3368.275488797358
54,3,-3368.275488797358
55,3,-3368.275488797358
56,3,-3368.275488797358
57,3,-3368.275488797358
58,3,-3368.275488797358
59,3,-3368.275488797358
60,3,-3368.275488797358
61,3,-3368.275488797358
62,3,-3368.275488797358
63,3,-3368.275488797358
64,3,-3368.275488797358
65,3,-3368.275488797358
66,3,-3368.275488797358
67,3,-3368.275488797358
68,3,-3368.275488797358
69,3,-3368.275488797358
70,3,-3368.275488797358
71,3,-3368.275488797358
72,3,-3368.275488797358
73,3,-3368.275488797358
74,3,-3368.275488797358
75,3,-3368.275488797358
76,3,-3368.275488797358
77,3,-3368.275488797358
78,3,-3368.275488797358
79,3,-3368.275488797358
80,3,-3368.275488797358
81,3,-3368.275488797358
82,3,-3368.275488797358
83,3,-3368.275488797358
84,3,-3368.275488797358
85,3,-3368.275488797358
86,3,-3368.275488797358
87,3,-3368.275488797358
88,3,-3368.275488797358
89,3,-3368.275488797358
90,3,-3368.275488797358
91,3,-3368.275488797358
92,3,-3368.275488797358
93,3,-3368.275488797358
94,3,-3368.275488797358
95,3,-3368.275488797358
96,3,-3368.275488797358
97,3,-3368.275488797358
98,3,-3368.275488797358
99,3,-3368.275488797358
0,4,-21.984086551467872
