Generation,Execution,Best Fitness
0,0,2.1407576993176534
1,0,2.1407576993176534
2,0,2.1407576993176534
3,0,1.2331103482193448
4,0,1.2331103482193448
5,0,1.2331103482193448
6,0,1.2331103482193448
7,0,1.2331103482193448
8,0,1.2331103482193448
9,0,1.2331103482193448
10,0,1.2331103482193448
11,0,1.2331103482193448
12,0,1.2331103482193448
13,0,1.2331103482193448
14,0,1.2331103482193448
15,0,1.1046947312329891
16,0,1.102057561122642
17,0,1.102057561122642
18,0,0.12909730453791113
19,0,0.02621656944569395
20,0,0.02621656944569395
21,0,0.02621656944569395
22,0,0.02444783099549852
23,0,0.0035745143737884177
24,0,0.0035745143737884177
25,0,0.0035745143737884177
26,0,0.0007463814340127328
27,0,0.0007463814340127328
28,0,0.0007463814340127328
29,0,0.0007463814340127328
30,0,5.934943941099391e-05
31,0,5.934943941099391e-05
32,0,5.934943941099391e-05
33,0,5.934943941099391e-05
34,0,5.6167364995474145e-05
35,0,5.6167364995474145e-05
36,0,5.6167364995474145e-05
37,0,6.438137514663822e-06
38,0,6.438137514663822e-06
39,0,6.438137514663822e-06
40,0,6.438137514663822e-06
41,0,6.438137514663822e-06
42,0,6.438137514663822e-06
43,0,5.672366217623903e-06
44,0,5.672366217623903e-06
45,0,1.662545074054833e-06
46,0,1.662545074054833e-06
47,0,9.710585047173481e-07
48,0,2.900393027971404e-07
49,0,5.0055255940151255e-08
50,0,5.0055255940151255e-08
51,0,4.602764391847813e-09
52,0,4.602764391847813e-09
53,0,4.602764391847813e-09
54,0,4.602764391847813e-09
55,0,4.335021230872371e-09
56,0,4.335021230872371e-09
57,0,4.335021230872371e-09
58,0,2.88310531004754e-09
59,0,6.093969773246499e-10
60,0,6.093969773246499e-10
61,0,5.128839575263555e-10
62,0,5.128839575263555e-10
63,0,4.349089977040421e-10
64,0,2.2588864112549345e-10
65,0,6.320277634586091e-11
66,0,6.320277634586091e-11
67,0,1.8808066215569852e-11
68,0,1.8808066215569852e-11
69,0,5.286437954055145e-12
70,0,5.286437954055145e-12
71,0,3.197442310920451e-13
72,0,2.8421709430404007e-13
73,0,2.8421709430404007e-13
74,0,2.8421709430404007e-13
75,0,2.8421709430404007e-13
76,0,2.8421709430404007e-13
77,0,2.8421709430404007e-13
78,0,7.105427357601002e-14
79,0,4.263256414560601e-14
80,0,1.4210854715202004e-14
81,0,1.4210854715202004e-14
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
0,1,6.323517683727715
1,1,6.323517683727715
2,1,1.6396663366764557
3,1,1.6396663366764557
4,1,1.6396663366764557
5,1,1.3506218341259952
6,1,1.3506218341259952
7,1,1.3506218341259952
8,1,1.3506218341259952
9,1,0.7631556785703992
10,1,0.4533645782827307
11,1,0.4533645782827307
12,1,0.4533645782827307
13,1,0.12172600588552385
14,1,0.10582343165599895
15,1,0.002398846828654655
16,1,0.002398846828654655
