Generation,Execution,Best Fitness
0,0,5.624315526479888
1,0,4.901404545539007
2,0,4.901404545539007
3,0,4.205424642950218
4,0,1.1188616140311736
5,0,1.1188616140311736
6,0,0.6378146325984142
7,0,0.0654338162562861
8,0,0.0654338162562861
9,0,0.0654338162562861
10,0,0.0654338162562861
11,0,0.0654338162562861
12,0,0.0654338162562861
13,0,0.0654338162562861
14,0,0.0654338162562861
15,0,0.0654338162562861
16,0,0.03600858366618658
17,0,0.030768808139335913
18,0,0.004787629912284097
19,0,0.004787629912284097
20,0,0.0026933020491801112
21,0,0.0005469826555803266
22,0,0.0005469826555803266
23,0,0.0005469826555803266
24,0,0.0005469826555803266
25,0,0.0003240563731976703
26,0,0.0003240563731976703
27,0,0.0003240563731976703
28,0,0.0003240563731976703
29,0,0.0003240563731976703
30,0,0.0003240563731976703
31,0,0.0003240563731976703
32,0,0.0003240563731976703
33,0,0.0003240563731976703
34,0,0.0003092375033714364
35,0,0.000272872329380736
36,0,0.000272872329380736
37,0,0.000272872329380736
38,0,0.000272872329380736
39,0,0.000272872329380736
40,0,0.000272872329380736
41,0,0.00027112809942493474
42,0,0.00027112809942493474
43,0,0.00023900984384314094
44,0,0.0002334666782050608
45,0,0.0002334666782050608
46,0,0.00022893532967930246
47,0,0.00014629513998222254
48,0,0.00014629513998222254
49,0,0.00014629513998222254
50,0,0.00014629513998222254
51,0,0.00014629513998222254
52,0,0.00014629513998222254
53,0,0.00012646589853777942
54,0,0.00012646589853777942
55,0,0.00012646589853777942
56,0,0.00012646589853777942
57,0,9.89889946653023e-05
58,0,9.89889946653023e-05
59,0,9.121544384278597e-05
60,0,9.121544384278597e-05
61,0,9.121544384278597e-05
62,0,9.121544384278597e-05
63,0,8.941164529722073e-05
64,0,8.870675722258169e-05
65,0,8.678320758362142e-05
66,0,8.678320758362142e-05
67,0,8.577499492305937e-05
68,0,8.400539458477434e-05
69,0,8.400539458477434e-05
70,0,8.389823982782073e-05
71,0,7.727748617764232e-05
72,0,7.727748617764232e-05
73,0,7.727748617764232e-05
74,0,7.727748617764232e-05
75,0,2.9143729795839302e-05
76,0,2.9143729795839302e-05
77,0,2.9143729795839302e-05
78,0,2.9143729795839302e-05
79,0,2.9143729795839302e-05
80,0,2.9143729795839302e-05
81,0,2.9143729795839302e-05
82,0,2.9143729795839302e-05
83,0,2.9143729795839302e-05
84,0,2.9143729795839302e-05
85,0,2.9143729795839302e-05
86,0,1.8237266582336963e-05
87,0,1.8237266582336963e-05
88,0,1.8237266582336963e-05
89,0,1.8237266582336963e-05
90,0,1.7469007066033527e-05
91,0,1.612753739877878e-05
92,0,1.4157862191612161e-05
93,0,1.4157862191612161e-05
94,0,1.227160610600502e-05
95,0,1.1470556449516546e-05
96,0,1.1470556449516546e-05
97,0,9.534301670719696e-06
98,0,8.262933666836819e-06
99,0,8.262933666836819e-06
0,1,0.9078394950538102
1,1,0.10744113290966192
2,1,0.10744113290966192
3,1,0.06831271791731426
4,1,0.06831271791731426
5,1,0.06831271791731426
6,1,0.03234618087499542
7,1,0.03234618087499542
8,1,0.01726751703402166
9,1,0.005353436935625998
10,1,0.005353436935625998
11,1,0.0028958749565051413
12,1,0.0028958749565051413
13,1,0.0015811688440372199
14,1,0.0015811688440372199
