Generation,Execution,Best Fitness
0,0,-4.225783458918922
1,0,-4.225783458918922
2,0,-4.225783458918922
3,0,-4.225783458918922
4,0,-4.225783458918922
5,0,-4.225783458918922
6,0,-4.225783458918922
7,0,-4.225783458918922
8,0,-4.225783458918922
9,0,-4.225783458918922
10,0,-4.225783458918922
11,0,-4.225783458918922
12,0,-4.338319483899137
13,0,-4.832531639141061
14,0,-4.832531639141061
15,0,-4.832531639141061
16,0,-4.832531639141061
17,0,-4.832531639141061
18,0,-4.993563506344255
19,0,-4.993563506344255
20,0,-4.993563506344255
21,0,-4.993563506344255
22,0,-4.993563506344255
23,0,-4.993563506344255
24,0,-4.993563506344255
25,0,-4.993563506344255
26,0,-4.993563506344255
27,0,-4.993563506344255
28,0,-4.993563506344255
29,0,-4.993563506344255
30,0,-4.993563506344255
31,0,-4.993563506344255
32,0,-4.993563506344255
33,0,-4.993563506344255
34,0,-4.993563506344255
35,0,-4.993563506344255
36,0,-4.993563506344255
37,0,-4.993563506344255
38,0,-4.993563506344255
39,0,-4.993563506344255
40,0,-4.993563506344255
41,0,-4.993563506344255
42,0,-4.993563506344255
43,0,-4.993563506344255
44,0,-4.993563506344255
45,0,-5.1967398845052815
46,0,-5.1967398845052815
47,0,-5.1967398845052815
48,0,-5.1967398845052815
49,0,-5.1967398845052815
50,0,-5.1967398845052815
51,0,-5.1967398845052815
52,0,-5.1967398845052815
53,0,-5.1967398845052815
54,0,-5.1967398845052815
55,0,-5.1967398845052815
56,0,-5.1967398845052815
57,0,-5.1967398845052815
58,0,-5.1967398845052815
59,0,-5.1967398845052815
60,0,-5.1967398845052815
61,0,-5.1967398845052815
62,0,-5.1967398845052815
63,0,-5.1967398845052815
64,0,-5.1967398845052815
65,0,-5.1967398845052815
66,0,-5.1967398845052815
67,0,-5.1967398845052815
68,0,-5.1967398845052815
69,0,-5.1967398845052815
70,0,-5.1967398845052815
71,0,-5.1967398845052815
72,0,-5.1967398845052815
73,0,-5.1967398845052815
74,0,-5.1967398845052815
75,0,-5.1967398845052815
76,0,-5.1967398845052815
77,0,-5.1967398845052815
78,0,-5.1967398845052815
79,0,-5.1967398845052815
80,0,-5.1967398845052815
81,0,-5.1967398845052815
82,0,-5.1967398845052815
83,0,-5.1967398845052815
84,0,-5.1967398845052815
85,0,-5.1967398845052815
86,0,-5.1967398845052815
87,0,-5.1967398845052815
88,0,-5.1967398845052815
89,0,-5.1967398845052815
90,0,-5.1967398845052815
91,0,-5.1967398845052815
92,0,-5.1967398845052815
93,0,-5.1967398845052815
94,0,-5.1967398845052815
95,0,-5.1967398845052815
96,0,-5.1967398845052815
97,0,-5.1967398845052815
98,0,-5.1967398845052815
99,0,-5.1967398845052815
0,1,-2.8152029543506125
1,1,-2.979310945259887
2,1,-3.01528221763044
3,1,-3.01528221763044
4,1,-3.01528221763044
5,1,-3.01528221763044
6,1,-5.936085012531264
7,1,-5.936085012531264
8,1,-5.936085012531264
9,1,-5.936085012531264
10,1,-5.936085012531264
11,1,-5.936085012531264
12,1,-5.936085012531264
13,1,-5.936085012531264
14,1,-5.936085012531264
15,1,-5.936085012531264
16,1,-5.936085012531264
17,1,-5.936085012531264
18,1,-5.936085012531264
19,1,-5.936085012531264
20,1,-5.936085012531264
21,1,-5.936085012531264
22,1,-5.936085012531264
23,1,-5.936085012531264
24,1,-5.936085012531264
25,1,-5.936085012531264
26,1,-5.936085012531264
27,1,-5.936085012531264
28,1,-5.936085012531264
29,1,-5.936085012531264
30,1,-5.936085012531264
31,1,-5.936085012531264
32,1,-5.936085012531264
33,1,-5.936085012531264
34,1,-5.936085012531264
35,1,-5.936085012531264
36,1,-5.936085012531264
37,1,-5.936085012531264
38,1,-5.936085012531264
39,1,-5.936085012531264
40,1,-5.936085012531264
41,1,-5.936085012531264
42,1,-5.936085012531264
43,1,-5.936085012531264
44,1,-5.936085012531264
45,1,-5.936085012531264
46,1,-5.936085012531264
47,1,-5.936085012531264
48,1,-5.936085012531264
49,1,-5.936085012531264
50,1,-5.936085012531264
51,1,-5.936085012531264
52,1,-5.936085012531264
53,1,-5.936085012531264
54,1,-5.936085012531264
55,1,-5.936085012531264
56,1,-5.936085012531264
57,1,-5.936085012531264
58,1,-5.936085012531264
59,1,-5.936085012531264
60,1,-5.936085012531264
61,1,-5.936085012531264
62,1,-5.936085012531264
63,1,-5.936085012531264
64,1,-5.936085012531264
65,1,-5.936085012531264
66,1,-5.936085012531264
67,1,-5.936085012531264
68,1,-6.464566096529433
69,1,-6.464566096529433
70,1,-6.464566096529433
71,1,-6.464566096529433
72,1,-6.464566096529433
73,1,-6.464566096529433
74,1,-6.464566096529433
75,1,-6.464566096529433
76,1,-6.464566096529433
77,1,-6.464566096529433
78,1,-6.464566096529433
79,1,-6.464566096529433
80,1,-6.464566096529433
81,1,-6.464566096529433
82,1,-6.464566096529433
83,1,-6.464566096529433
84,1,-6.464566096529433
85,1,-6.464566096529433
86,1,-6.464566096529433
87,1,-6.464566096529433
88,1,-6.464566096529433
89,1,-6.464566096529433
90,1,-6.464566096529433
91,1,-6.464566096529433
92,1,-6.464566096529433
93,1,-6.464566096529433
94,1,-6.464566096529433
95,1,-6.464566096529433
96,1,-6.464566096529433
97,1,-6.464566096529433
98,1,-6.464566096529433
99,1,-6.464566096529433
0,2,-4.45383717691609
1,2,-4.45383717691609
2,2,-4.45383717691609
3,2,-4.45383717691609
4,2,-4.45383717691609
5,2,-4.45383717691609
6,2,-4.45383717691609
7,2,-4.45383717691609
8,2,-4.45383717691609
9,2,-4.45383717691609
10,2,-4.45383717691609
11,2,-4.45383717691609
12,2,-4.774684040995126
13,2,-4.774684040995126
14,2,-4.774684040995126
15,2,-4.774684040995126
16,2,-4.774684040995126
17,2,-4.774684040995126
18,2,-4.774684040995126
19,2,-4.774684040995126
20,2,-4.774684040995126
21,2,-4.774684040995126
22,2,-4.774684040995126
23,2,-4.774684040995126
24,2,-4.774684040995126
25,2,-4.774684040995126
26,2,-4.774684040995126
27,2,-4.774684040995126
28,2,-4.774684040995126
29,2,-4.774684040995126
30,2,-4.774684040995126
31,2,-4.774684040995126
32,2,-4.774684040995126
33,2,-4.774684040995126
34,2,-4.774684040995126
35,2,-4.774684040995126
36,2,-4.774684040995126
37,2,-4.774684040995126
38,2,-4.774684040995126
39,2,-4.774684040995126
40,2,-4.774684040995126
41,2,-4.774684040995126
42,2,-4.774684040995126
43,2,-4.774684040995126
44,2,-4.774684040995126
45,2,-4.774684040995126
46,2,-4.774684040995126
47,2,-4.774684040995126
48,2,-4.774684040995126
49,2,-4.774684040995126
50,2,-4.774684040995126
51,2,-4.774684040995126
52,2,-4.774684040995126
53,2,-4.774684040995126
54,2,-4.774684040995126
55,2,-4.774684040995126
56,2,-4.774684040995126
57,2,-4.774684040995126
58,2,-4.774684040995126
59,2,-4.774684040995126
60,2,-4.774684040995126
61,2,-4.774684040995126
62,2,-4.774684040995126
63,2,-4.774684040995126
64,2,-4.774684040995126
65,2,-4.774684040995126
66,2,-4.774684040995126
67,2,-5.047917464583089
68,2,-5.047917464583089
69,2,-5.240221664266567
70,2,-5.240221664266567
71,2,-5.240221664266567
72,2,-5.240221664266567
73,2,-5.240221664266567
74,2,-5.549316751223218
75,2,-5.549316751223218
76,2,-5.549316751223218
77,2,-5.549316751223218
78,2,-5.549316751223218
79,2,-5.549316751223218
80,2,-5.549316751223218
81,2,-5.549316751223218
82,2,-5.549316751223218
83,2,-5.549316751223218
84,2,-5.549316751223218
85,2,-5.549316751223218
86,2,-5.549316751223218
87,2,-5.6799289212669075
88,2,-5.6799289212669075
89,2,-5.6799289212669075
90,2,-5.6799289212669075
91,2,-5.6799289212669075
92,2,-5.6799289212669075
93,2,-5.6799289212669075
94,2,-5.6799289212669075
95,2,-5.6799289212669075
96,2,-5.6799289212669075
