Generation,Execution,Best Fitness
0,0,-2.7722884790678664
1,0,-2.7722884790678664
2,0,-2.774116951361817
3,0,-3.9777727960044937
4,0,-3.9777727960044937
5,0,-3.9777727960044937
6,0,-3.9777727960044937
7,0,-3.9777727960044937
8,0,-3.9777727960044937
9,0,-3.9777727960044937
10,0,-3.9777727960044937
11,0,-3.9777727960044937
12,0,-3.9777727960044937
13,0,-3.9777727960044937
14,0,-3.9777727960044937
15,0,-3.9777727960044937
16,0,-3.9777727960044937
17,0,-3.9777727960044937
18,0,-3.9777727960044937
19,0,-3.9777727960044937
20,0,-3.9777727960044937
21,0,-3.9777727960044937
22,0,-3.9777727960044937
23,0,-3.9777727960044937
24,0,-4.130822877754153
25,0,-4.130822877754153
26,0,-4.130822877754153
27,0,-4.130822877754153
28,0,-4.130822877754153
29,0,-4.130822877754153
30,0,-5.551330042069665
31,0,-5.551330042069665
32,0,-5.551330042069665
33,0,-5.551330042069665
34,0,-5.551330042069665
35,0,-5.551330042069665
36,0,-5.551330042069665
37,0,-5.551330042069665
38,0,-5.551330042069665
39,0,-5.551330042069665
40,0,-5.551330042069665
41,0,-5.551330042069665
42,0,-5.551330042069665
43,0,-5.551330042069665
44,0,-5.551330042069665
45,0,-5.551330042069665
46,0,-5.551330042069665
47,0,-5.551330042069665
48,0,-5.551330042069665
49,0,-5.551330042069665
50,0,-5.551330042069665
51,0,-5.551330042069665
52,0,-5.551330042069665
53,0,-5.551330042069665
54,0,-5.551330042069665
55,0,-5.551330042069665
56,0,-5.551330042069665
57,0,-5.551330042069665
58,0,-5.551330042069665
59,0,-5.551330042069665
60,0,-5.551330042069665
61,0,-5.551330042069665
62,0,-5.551330042069665
63,0,-5.551330042069665
64,0,-5.551330042069665
65,0,-5.551330042069665
66,0,-5.551330042069665
67,0,-5.551330042069665
68,0,-5.551330042069665
69,0,-5.551330042069665
70,0,-5.551330042069665
71,0,-5.551330042069665
72,0,-5.551330042069665
73,0,-5.551330042069665
74,0,-5.551330042069665
75,0,-5.551330042069665
76,0,-5.551330042069665
77,0,-5.551330042069665
78,0,-5.551330042069665
79,0,-5.551330042069665
80,0,-5.551330042069665
81,0,-5.551330042069665
82,0,-5.551330042069665
83,0,-5.551330042069665
84,0,-5.551330042069665
85,0,-5.551330042069665
