Generation,Execution,Best Fitness
0,0,3.5358696516074097
1,0,3.5358696516074097
2,0,3.5358696516074097
3,0,3.071255363337656
4,0,0.2659863106410931
5,0,0.2659863106410931
6,0,0.2659863106410931
7,0,0.2659863106410931
8,0,0.2659863106410931
9,0,0.2659863106410931
10,0,0.2659863106410931
11,0,0.2659863106410931
12,0,0.2659863106410931
13,0,0.2659863106410931
14,0,0.2659863106410931
15,0,0.2659863106410931
16,0,0.2659863106410931
17,0,0.2659863106410931
18,0,0.2659863106410931
19,0,0.13247985501287474
20,0,0.13247985501287474
21,0,0.13247985501287474
22,0,0.13247985501287474
23,0,0.13247985501287474
24,0,0.05670107985384121
25,0,0.05670107985384121
26,0,0.05670107985384121
27,0,0.05670107985384121
28,0,0.05670107985384121
29,0,0.05670107985384121
30,0,0.001945538432849503
31,0,0.001945538432849503
32,0,0.001945538432849503
33,0,0.001945538432849503
34,0,0.001945538432849503
35,0,0.0009576763928791365
36,0,0.0009576763928791365
37,0,0.0004157078518289836
38,0,3.015624514546289e-06
39,0,3.015624514546289e-06
40,0,3.015624514546289e-06
41,0,3.015624514546289e-06
42,0,3.015624514546289e-06
43,0,3.015624514546289e-06
44,0,3.015624514546289e-06
45,0,3.015624514546289e-06
46,0,3.015624514546289e-06
47,0,5.737947006423383e-07
48,0,4.209769102203609e-07
49,0,5.3357908313955704e-08
50,0,1.4406548842771372e-08
51,0,1.4406548842771372e-08
52,0,1.4406548842771372e-08
53,0,1.4406548842771372e-08
54,0,1.4406548842771372e-08
55,0,1.4406548842771372e-08
56,0,5.533991043193964e-10
57,0,5.533991043193964e-10
58,0,5.533991043193964e-10
59,0,5.533991043193964e-10
60,0,7.084111075528199e-12
61,0,7.084111075528199e-12
62,0,7.084111075528199e-12
63,0,7.084111075528199e-12
64,0,7.084111075528199e-12
65,0,7.084111075528199e-12
66,0,7.084111075528199e-12
67,0,7.084111075528199e-12
68,0,7.084111075528199e-12
69,0,7.084111075528199e-12
70,0,7.084111075528199e-12
71,0,7.084111075528199e-12
72,0,3.26139115713886e-12
73,0,3.26139115713886e-12
74,0,2.4016344468691386e-12
75,0,3.588240815588506e-13
76,0,3.588240815588506e-13
77,0,7.105427357601002e-14
78,0,7.105427357601002e-14
79,0,1.4210854715202004e-14
80,0,7.105427357601002e-15
81,0,3.552713678800501e-15
82,0,3.552713678800501e-15
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
0,1,2.7598739468272697
1,1,2.7598739468272697
2,1,2.7598739468272697
3,1,2.7598739468272697
4,1,2.7598739468272697
5,1,2.7598739468272697
6,1,2.7598739468272697
7,1,2.648546888173442
8,1,1.2647702773244696
9,1,1.2647702773244696
10,1,1.2647702773244696
11,1,1.097982776767509
12,1,1.097982776767509
13,1,1.097982776767509
14,1,1.097982776767509
15,1,1.097982776767509
16,1,1.097982776767509
17,1,0.9359725810480803
18,1,0.6564514863455813
19,1,0.6564514863455813
20,1,0.6564514863455813
21,1,0.6564514863455813
22,1,0.6564514863455813
23,1,0.6564514863455813
24,1,0.39185591445489365
25,1,0.2388191530068262
26,1,0.2388191530068262
27,1,0.1362571901993661
28,1,0.04379268109012102
29,1,0.04379268109012102
30,1,0.026996345886580286
31,1,0.026996345886580286
32,1,0.026996345886580286
33,1,0.023928559282659023
34,1,0.023928559282659023
35,1,0.012244336578127957
36,1,0.007547434847822387
37,1,0.007547434847822387
38,1,0.002455962628161501
39,1,0.002455962628161501
40,1,0.0011311201813057892
41,1,0.0006628896739933055
42,1,0.0005981132597057126
43,1,0.0004089309232284677
44,1,0.00013326055989537622
45,1,3.0331151357643193e-05
46,1,1.841905145738565e-05
47,1,7.801258348649753e-06
48,1,7.801258348649753e-06
49,1,6.319668493404151e-06
50,1,6.319668493404151e-06
51,1,9.103508986640918e-07
52,1,7.274681124158633e-08
53,1,1.77305885529222e-08
54,1,1.77305885529222e-08
55,1,1.77305885529222e-08
56,1,1.77305885529222e-08
57,1,5.291870053270031e-09
58,1,5.291870053270031e-09
59,1,5.291870053270031e-09
60,1,5.291870053270031e-09
61,1,2.675179189282062e-09
62,1,2.675179189282062e-09
63,1,4.644604700843047e-10
64,1,4.644604700843047e-10
65,1,4.644604700843047e-10
66,1,4.644604700843047e-10
67,1,4.644604700843047e-10
68,1,1.5339196579589043e-10
69,1,3.163691530971846e-11
70,1,3.163691530971846e-11
71,1,3.163691530971846e-11
72,1,2.0605739337042905e-12
73,1,2.0605739337042905e-12
74,1,2.0605739337042905e-12
75,1,1.1546319456101628e-12
76,1,1.1546319456101628e-12
77,1,1.1546319456101628e-12
78,1,1.1546319456101628e-12
79,1,1.1546319456101628e-12
80,1,1.1546319456101628e-12
81,1,1.2079226507921703e-13
82,1,8.526512829121202e-14
83,1,8.526512829121202e-14
84,1,8.526512829121202e-14
85,1,1.4210854715202004e-14
86,1,1.4210854715202004e-14
87,1,7.105427357601002e-15
88,1,3.552713678800501e-15
89,1,3.552713678800501e-15
90,1,0.0
91,1,0.0
92,1,0.0
93,1,0.0
94,1,0.0
95,1,0.0
96,1,0.0
97,1,0.0
98,1,0.0
99,1,0.0
0,2,8.540477295441729
1,2,2.327721936592642
2,2,1.424793967188272
3,2,1.424793967188272
4,2,1.424793967188272
5,2,1.424793967188272
6,2,1.424793967188272
7,2,1.424793967188272
8,2,1.424793967188272
9,2,1.424793967188272
10,2,1.424793967188272
11,2,1.04379835564637
12,2,1.04379835564637
13,2,1.04379835564637
14,2,1.04379835564637
15,2,1.04379835564637
16,2,1.04379835564637
17,2,1.04379835564637
18,2,1.04379835564637
19,2,1.04379835564637
20,2,1.04379835564637
21,2,1.04379835564637
22,2,0.04138471778327357
23,2,0.04138471778327357
24,2,0.04138471778327357
25,2,0.04138471778327357
26,2,0.04138471778327357
27,2,0.04138471778327357
28,2,0.04138471778327357
29,2,0.04138471778327357
30,2,0.04138471778327357
31,2,0.04138471778327357
32,2,0.032382719977704255
33,2,0.032382719977704255
34,2,0.029377467057990714
35,2,0.012353067835867648
36,2,0.007441993281972259
37,2,0.007441993281972259
38,2,0.0023261047487395103
39,2,0.0023261047487395103
40,2,0.0023261047487395103
41,2,0.0023261047487395103
42,2,0.0005109966731851046
43,2,0.0005109966731851046
44,2,3.708825559556317e-05
45,2,3.708825559556317e-05
46,2,3.708825559556317e-05
47,2,3.708825559556317e-05
48,2,4.628277707752204e-06
49,2,4.628277707752204e-06
50,2,4.628277707752204e-06
51,2,1.061456949003059e-06
52,2,1.061456949003059e-06
53,2,1.061456949003059e-06
54,2,1.061456949003059e-06
55,2,3.801315315854481e-07
56,2,1.0010023743234342e-07
57,2,2.006004251597915e-08
58,2,2.006004251597915e-08
59,2,2.006004251597915e-08
60,2,8.929621486686301e-09
61,2,8.929621486686301e-09
62,2,8.929621486686301e-09
63,2,8.929621486686301e-09
64,2,6.735461965945433e-09
65,2,2.630997641972499e-10
66,2,2.630997641972499e-10
67,2,2.630997641972499e-10
68,2,2.630997641972499e-10
69,2,2.036131263594143e-10
70,2,2.036131263594143e-10
71,2,2.036131263594143e-10
72,2,2.7910118660656735e-11
73,2,2.589217729109805e-11
74,2,2.589217729109805e-11
75,2,1.2846612662542611e-11
76,2,6.803446694902959e-12
77,2,4.526157226791838e-12
78,2,4.526157226791838e-12
79,2,2.7924329515371937e-12
80,2,4.050093593832571e-13
81,2,4.050093593832571e-13
82,2,4.050093593832571e-13
83,2,4.618527782440651e-14
84,2,4.618527782440651e-14
85,2,4.618527782440651e-14
86,2,4.618527782440651e-14
87,2,4.618527782440651e-14
88,2,1.4210854715202004e-14
89,2,1.0658141036401503e-14
90,2,0.0
91,2,0.0
92,2,0.0
93,2,0.0
94,2,0.0
95,2,0.0
96,2,0.0
97,2,0.0
98,2,0.0
99,2,0.0
0,3,2.214244101635959
1,3,2.214244101635959
2,3,2.214244101635959
3,3,2.214244101635959
4,3,2.214244101635959
5,3,2.214244101635959
6,3,2.214244101635959
7,3,2.214244101635959
8,3,2.214244101635959
9,3,1.2532627902198783
10,3,1.2532627902198783
11,3,1.0734671960940716
12,3,1.0734671960940716
13,3,0.5210165543848397
14,3,0.08091661646008674
15,3,0.08091661646008674
16,3,0.08091661646008674
17,3,0.08091661646008674
18,3,0.08091661646008674
19,3,0.08091661646008674
20,3,0.08091661646008674
21,3,0.08091661646008674
