Generation,Execution,Best Fitness
0,0,0.25613303853053115
1,0,0.21364330190792916
2,0,0.21957310781922734
3,0,0.2354643710408175
4,0,0.24287465318489615
5,0,0.09764279503629927
6,0,0.04306564784444242
7,0,0.04521517659977744
8,0,0.046106365336597205
9,0,0.07556798206990276
10,0,0.05653144134829544
11,0,0.051531343635798005
12,0,0.05092441408947873
13,0,0.050487467024593016
14,0,0.05125177509157679
15,0,0.04235227308041556
16,0,0.0516113882990446
17,0,0.051470461157506635
18,0,0.040959952523923676
19,0,0.04364211492626884
0,1,0.25550605931303716
1,1,0.2788214741037607
2,1,0.28149554426447876
3,1,0.28149554426447876
4,1,0.2786563331958406
5,1,0.27551080205062867
6,1,0.13764390057889922
7,1,0.1292138984253095
8,1,0.11296750295348654
9,1,0.11296750295348654
10,1,0.10388455654688081
11,1,0.10836983746475724
12,1,0.10836983746475724
13,1,0.10631807764272896
14,1,0.08317731632185987
15,1,0.08089905337078229
16,1,0.08214193419309561
17,1,0.08241269815558917
18,1,0.0842397408000943
19,1,0.08719493900753328
0,2,1.277191074719792
1,2,0.19323944115929123
2,2,0.15761163243132362
3,2,0.06383545762388257
4,2,0.03562236250831419
5,2,0.017700845373804713
6,2,0.0020730486961649257
7,2,0.0028102687518795962
8,2,0.015098511307032308
9,2,0.01504310480461881
10,2,0.03931214699229696
11,2,0.01505456998772739
12,2,0.030407889691854862
13,2,0.028300388934966607
14,2,0.028287547560353052
15,2,0.013271054652205051
16,2,0.013086971040568976
17,2,0.009032237190064617
18,2,0.006551304528916728
19,2,0.0026225299914427735
0,3,4.977046085517664
1,3,3.257968740347995
2,3,3.298172303275251
3,3,2.456423183514002
4,3,2.7021111263685835
5,3,1.5222040734478115
6,3,0.6450494356673857
7,3,0.27915802929779965
8,3,0.41717633004496524
9,3,0.27463012999038855
10,3,0.125259019767071
11,3,0.13252843348651336
12,3,0.1340798227927248
13,3,0.11765192429510474
14,3,0.12525920834606663
15,3,0.12307139773056755
16,3,0.10553589427623215
17,3,0.1271638803994909
18,3,0.0978354384407566
19,3,0.09534737264678748
0,4,0.5115560357085627
1,4,0.27595009306812246
2,4,0.13290144356467276
3,4,0.06306984899702933
4,4,0.0443303755917176
5,4,0.04454589376758575
6,4,0.04454589376758575
7,4,0.05168140716883341
8,4,0.05011049526146618
9,4,0.04881896350684615
10,4,0.04821560551448062
11,4,0.04711457159786357
12,4,0.0494169932099092
13,4,0.031101802467616305
14,4,0.031433263359746694
15,4,0.031147334731649604
16,4,0.03166807521051826
17,4,0.05057359261521379
18,4,0.05085588755382064
19,4,0.05096514255481538
0,5,0.33813765449777183
1,5,0.33813765449777183
2,5,0.20110119645991348
3,5,0.20713651542582656
4,5,0.11791758771081756
5,5,0.11008982362392966
6,5,0.11316857369626411
7,5,0.11368789170001156
8,5,0.1208419692231053
9,5,0.13266270521722956
10,5,0.11018823856199526
11,5,0.11879399184968081
12,5,0.1525812019035552
13,5,0.06985498413605128
14,5,0.06985498413605128
15,5,0.06957953934839575
16,5,0.06917324957699404
17,5,0.06917324957699404
18,5,0.06911530303183712
19,5,0.06770658213139784
0,6,0.05351968705150657
1,6,0.10562467114143043
2,6,0.18065196848520582
3,6,0.012334110254444043
4,6,0.13315014370423944
5,6,0.036971635881553
6,6,0.03455071077664568
7,6,0.015197885040354013
8,6,0.042551135946869954
9,6,0.04602099070766308
10,6,0.06143562154500865
11,6,0.009895345036086554
12,6,0.010486827661705167
13,6,0.056868876294538094
14,6,0.04843960721990997
15,6,0.06779342201602517
16,6,0.044723175227882446
17,6,0.044723175227882446
18,6,0.04434707012250977
19,6,0.05963375518348553
0,7,7.15701736959104
1,7,6.269777158605532
2,7,0.6269223324354841
3,7,0.1554798149633279
