Execution,Min Per Execution,Mean ,Std Dev 
0,0.046777,4.958649,11.178058
1,0.027618,5.590323,9.705362
2,0.068378,5.744204,9.587815
3,0.037835,2.976752,6.638529
4,0.001730,3.437904,8.892290
5,0.007033,5.620148,13.067357
6,0.007522,1.930371,3.416892
7,0.047488,3.595781,6.315180
8,0.047546,4.247942,11.783474
9,0.054746,1.818379,4.920283
10,0.068401,1.368402,3.114809
11,0.000000,4.995011,10.376091
12,0.015911,3.580399,8.570320
13,0.003961,2.499337,5.373482
14,0.006757,5.434408,9.902285
15,0.021935,2.801981,8.470169
16,0.003628,6.317022,13.158822
17,0.011410,1.153449,5.089339
18,0.002921,5.700654,11.542243
19,0.156002,3.138651,7.240920
20,0.031493,4.590385,11.044264
21,0.104329,3.776091,5.409793
22,1.058423,8.420620,11.760172
23,0.001328,3.358886,6.646439
24,0.002131,5.977545,9.330752
25,0.000388,3.462247,3.476365
26,0.191485,7.450045,10.551714
27,0.004751,6.141698,10.838718
28,0.105611,3.677467,6.987219
29,0.156047,4.625820,9.209927
