Execution,Min Per Execution,Mean Min Fitness,Std Dev Min Fitness
0,1.213786,7.506643,4.009722
1,1.007407,3.730298,3.988145
2,1.343907,2.970123,3.300186
3,1.001408,5.228903,3.908847
4,10.000000,10.279598,0.428497
5,1.004898,4.538701,3.958807
6,3.928414,4.896379,0.892466
7,0.126287,4.044683,4.573594
8,1.087515,6.399502,3.962485
9,2.177592,6.213391,4.077050
10,1.029824,3.894208,3.955143
11,0.043168,5.651933,4.778729
12,10.000000,10.333847,0.430570
13,1.513435,4.220282,3.939887
14,1.079358,3.501302,3.012908
15,1.010960,4.628840,4.620956
16,1.384077,4.922100,4.553129
17,10.000000,10.447045,0.492475
18,1.105105,2.478893,2.393634
19,1.039684,3.877869,3.866087
20,0.062589,2.696056,3.869997
21,1.025276,3.994676,4.100981
22,10.000000,10.224528,0.404002
23,1.013581,4.039526,3.249954
24,1.042865,2.577637,3.069584
25,1.170276,3.286007,2.916849
26,0.393382,3.210473,4.139626
27,0.076932,2.183798,3.324444
28,1.009459,2.433693,3.166676
29,1.040698,2.935778,3.212911
