Execution,Fitness,Penalty,Violated Constraints,Feasibility
1,-14.9072,0,[],True
2,-11.9824,0,[],True
3,-14.6770,0,[],True
4,-14.8332,0,[],True
5,-14.8029,0,[],True
6,-11.9856,0,[],True
7,-12.1840,0,[],True
8,-14.5907,0,[],True
9,-11.9893,8.20E-14,[6],False
10,-8.9897,0,[],True
11,-11.9862,2.34E-12,[8],False
12,-11.8591,0,[],True
13,-14.5601,0,[],True
14,-9.0001,6.09E-11,[7],False
15,-12.1001,0,[],True
16,-11.7406,0,[],True
17,-10.6889,0,[],True
18,-9.0004,1.58E-10,[7],False
19,-14.8912,0,[],True
20,-12.6324,0,[],True
21,-11.9850,0,[],True
22,-8.1669,9.30E-13,[3],False
23,-14.8192,4.14E-09,[8],False
24,-11.9838,0,[],True
25,-11.9604,0,[],True
26,-14.7218,0,[],True
27,-14.8948,0,[],True
28,-14.8462,0,[],True
29,-12.7621,0,[],True
30,-14.8310,0,[],True
Average,-12.6791,1.45392E-10,,
Std Dev,2.0656,7.55E-10,,
