Execution,Fitness,Penalty,Violated Constraints ,Feasibility
1,-31037.34113,3.92E-06,"[0, 5]",False
2,-31037.33646,3.92E-06,"[0, 5]",False
3,-31037.42673,4.03E-06,"[0, 5]",False
4,-31037.34196,3.92E-06,"[0, 5]",False
5,-31037.34183,3.92E-06,"[0, 5]",False
6,-31037.42673,4.03E-06,"[0, 5]",False
7,-31037.4268,4.03E-06,"[0, 5]",False
8,-31037.5498,4.16E-06,"[0, 5]",False
9,-31037.34209,3.92E-06,"[0, 5]",False
10,-31036.29152,3.01E-06,"[0, 5]",False
11,-31037.34199,3.92E-06,"[0, 5]",False
12,-31035.51552,2.42E-06,"[0, 5]",False
13,-31037.33762,3.92E-06,"[0, 5]",False
14,-31044.12354,1.54E-05,"[0, 5]",False
15,-31037.34198,3.92E-06,"[0, 5]",False
16,-31037.34201,3.92E-06,"[0, 5]",False
17,-31037.4267,4.03E-06,"[0, 5]",False
18,-31037.42672,4.03E-06,"[0, 5]",False
19,-31037.29949,3.88E-06,"[0, 5]",False
20,-31037.34206,3.92E-06,"[0, 5]",False
21,-31037.42673,4.03E-06,"[0, 5]",False
22,-31044.12354,1.54E-05,"[0, 5]",False
23,-31037.34193,3.92E-06,"[0, 5]",False
24,-31037.42672,4.03E-06,"[0, 5]",False
25,-31027.78316,2.19E-06,[5],False
26,-31037.34202,3.92E-06,"[0, 5]",False
27,-31037.342,3.92E-06,"[0, 5]",False
28,-31037.49169,4.07E-06,"[0, 5]",False
29,-31037.34148,3.92E-06,"[0, 5]",False
30,-31036.89935,3.53E-06,"[0, 5]",False
Mean,-31037.395,0.0000,,
Std Dev,2.546,0.0000,,
