Execution,Fitness,Penalty,Violated Constraints,Feasibility
1,-273027.0400,4337.6529,"[1, 2, 3, 4]",False
2,-262832.4178,4534.2304,"[1, 2, 3, 4]",False
3,-267492.5075,4978.0701,"[1, 2, 3, 4]",False
4,-298679.3579,5057.3400,"[1, 2, 3, 4]",False
5,-255198.4361,4541.8446,"[1, 2, 3, 4]",False
6,-280301.4917,5066.0721,"[1, 2, 3, 4]",False
7,-262738.2388,4846.4729,"[1, 2, 3, 4]",False
8,-246702.9522,4269.5729,"[1, 2, 3, 4]",False
9,-250802.0784,4379.4487,"[1, 2, 3, 4]",False
10,-279073.1520,4316.6527,"[1, 2, 3, 4]",False
11,-261651.8640,4071.0045,"[1, 2, 3, 4]",False
12,-250401.1869,4365.2640,"[1, 2, 3, 4]",False
13,-270789.8981,4682.3670,"[1, 2, 3, 4]",False
14,-263022.6894,4464.9770,"[1, 2, 3, 4]",False
15,-256440.4705,4300.9803,"[1, 2, 3, 4]",False
16,-256582.1171,4465.5123,"[1, 2, 3, 4]",False
17,-275801.7902,4459.4814,"[1, 2, 3, 4]",False
18,-273843.4442,5066.9371,"[1, 2, 3, 4]",False
19,-282199.7203,5065.2254,"[1, 2, 3, 4]",False
20,-253643.5123,4596.3430,"[1, 2, 3, 4]",False
21,-275047.4971,4268.2996,"[1, 2, 3, 4]",False
22,-265131.0659,4616.8729,"[1, 2, 3, 4]",False
23,-257249.9247,4680.8332,"[1, 2, 3, 4]",False
24,-254872.8467,4578.0605,"[1, 2, 3, 4]",False
25,-289602.3879,5000.3842,"[1, 2, 3, 4]",False
26,-311071.7509,5064.2530,"[1, 2, 3, 4]",False
27,-269368.6179,3984.1898,"[1, 2, 3, 4]",False
28,-257879.8428,4591.8424,"[1, 2, 3, 4]",False
29,-258039.6112,4641.2591,"[1, 2, 3, 4]",False
30,-295884.2829,4992.9338,"[1, 2, 3, 4]",False
Average,-268512.406,,,
Std Dev,15534.605,,,
