Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G1,1,"[0.70106994 0.23386929 0.22024735 0.99998448 0.28252948 0.99732516
 0.58364609 0.99835722 0.76077178 3.73700554 2.33420222 2.32367678
 0.35093105]",-8.856752784717838,2.4794529189442693,"[4, 5, 6]"
G1,2,"[0.00333904 0.07290003 0.76748708 0.06164037 0.16754764 0.0353408
 0.00351103 0.02947504 0.11346619 0.9475763  0.34549779 2.94660143
 0.07333136]",-1.1069437528436072,4.623102202203368,"[3, 6, 7, 8]"
G1,3,"[0.01934539 0.140766   0.07326194 0.00506264 0.00704245 0.01146089
 0.17023968 0.67110181 0.77036037 0.87462524 1.64367349 1.97985437
 0.00604466]",-2.8986246019397672,4.9391360418297525,"[3, 4, 5, 6, 7]"
G1,4,"[0.99798798 0.42021741 0.37043239 0.00827966 0.85346392 0.99843899
 0.71938925 0.96493023 0.76495226 3.94724398 3.65265415 2.88314057
 0.96320832]",-11.308551086785577,4.929159293694598,"[0, 4, 6, 7, 8]"
G1,5,"[0.08163345 0.99671575 0.12952523 0.05549195 0.04068409 0.20062232
 0.74234726 0.02203474 0.0525528  1.15936883 4.48886508 1.54994745
 0.01649671]",-4.110834494800551,6.826346058219734,"[3, 5, 6, 7, 8]"
G1,6,"[0.03022288 0.03162055 0.00428495 0.03612384 0.05538009 0.05791975
 0.06424917 0.11190164 0.00502528 1.26686057 1.01632902 0.11438224
 0.14297482]",-0.9814317026246999,3.8440179348948362,"[3, 4, 5, 6, 7]"
G1,7,"[3.26314735e-01 1.14358301e-01 3.04119706e-04 1.17391430e-02
 5.38131147e-02 1.04618737e-01 1.19203630e-01 1.59545651e-01
 1.30728421e-01 2.47133263e+00 1.58822151e+00 1.94331043e-01
 2.73396460e-01]",-1.789175956082579,4.519074825332357,"[4, 5, 6, 7]"
G1,8,"[1.14176669e-02 1.15042459e-01 5.66974588e-04 9.96565451e-01
 7.23170499e-01 1.08059706e-02 7.44214705e-01 3.89785090e-01
 3.20044616e-01 1.17121131e+00 1.12145993e+00 8.29012098e-01
 2.91539988e-01]",-3.85198153924555,2.461099820817868,"[3, 4, 5, 7]"
G1,9,"[0.62729207 0.99032577 0.24780545 0.49438644 0.40843442 0.10084974
 0.07826502 0.14830598 0.92412187 3.7577298  3.54667355 2.75001705
 0.47314526]",-4.949743730388887,8.463727290132708,"[0, 5, 6, 7, 8]"
G1,10,"[0.13581778 0.00494518 0.00425966 0.0382423  0.02602332 0.01285143
 0.00947056 0.11014354 0.50978301 1.50186478 0.64849047 0.69444223
 0.21800662]",-1.8934656927996905,3.6972904266459126,"[3, 4, 5, 6, 7]"
G1,11,"[0.38040163 0.9999994  0.44806061 0.99830899 0.78341821 0.98009951
 0.48054    0.93556503 0.40445308 3.15327173 4.76392268 3.50700698
 0.98115014]",-11.830917363831217,5.882947846488488,"[0, 2, 3, 6, 7, 8]"
G1,12,"[0.34510736 0.21571392 0.29781571 0.00761418 0.91665346 0.33688157
 0.57881025 0.94194133 0.37921676 2.81382953 2.02260424 2.41463307
 0.56009094]",-7.085898566285995,3.185483150035765,"[3, 4, 5, 6, 7, 8]"
G1,13,"[1.32591941e-01 1.08142777e-01 2.44985035e-02 2.75227904e-03
 3.76131071e-02 5.25069114e-03 2.84380748e-02 1.84914172e-02
 2.00141898e-02 1.12676484e-02 1.23483016e+00 1.18928169e+00
 3.57361917e-04]",-0.17753985360385882,3.6911569864230414,"[4, 5, 7, 8]"
G1,14,"[0.25835254 0.10472701 0.07954313 0.00903715 0.2258806  0.36045807
 0.04143751 0.26088194 0.15429007 2.39678651 1.31749055 0.9144028
 0.33699258]",-3.0007234577156057,4.03401583275009,"[3, 4, 5, 6, 7, 8]"
G1,15,"[0.99882085 0.26423158 0.1730706  0.04865495 0.99636645 0.08823498
 0.55542815 0.06309996 0.56506341 4.86590254 2.60811806 1.59212677
 0.53320075]",-6.358836401029702,7.251262454756432,"[0, 4, 5, 6, 7, 8]"
